State,Rate,Deaths
Alabama (AL),21.5,"1,046"
Alaska (AK),23.3,177
Arizona (AZ),5,"1,094"
Arkansas (AR),17.8,541
California (CA),7.9,"3,184"
Colorado (CO),14.3,812
Connecticut (CT),4.6,172
Delaware (DE),11,111
Florida (FL),12.6,"2,704"
Georgia (GA),15,"1,571"
Hawaii (HI),4.5,66
Idaho (ID),14.6,242
Illinois (IL),11.7,"1,490"
Indiana (IN),15,997
Iowa (IA),9.2,288
Kansas (KS),13.4,383
Kentucky (KY),17.5,772
Louisiana (LA),21.3,987
Maine (ME),8.3,123
Maryland (MD),11.7,"1,581"
Massachusetts (MA),3.4,242
Michigan (MI),12.3,"1,230"
Minnesota (MN),7.6,432
Mississippi (MS),19.9,587
Missouri (MO),19,"1,144"
Montana (MT),18.9,194
Nebraska (NE),9.1,171
Nevada (NV),16.8,498
New Hampshire (NH),9.3,132
New Jersey (NJ),5.5,485
New Mexico (NM),18.1,383
New York (NY),4.4,900
North Carolina (NC),13.7,"1,409"
North Dakota (ND),11.9,90
Ohio (OH),12.9,"1,524"
Oklahoma (OK),19.6,766
Oregon (OR),11.9,513
Pennsylvania (PA),12,"1,555"
Rhode Island (RI),4.1,49
South Carolina (SC),17.7,891
South Dakota (SD),13.4,108
Tennessee (TN),17.1,"1,148"
Texas (TX),12.1,"3,353"
Utah (UT),12.9,370
Vermont (VT),11.1,78
Virginia (VA),12.1,"1,049"
Washington (WA),9,686
West Virginia (WV),17.5,332
Wisconsin (WI),11.4,664
Wyoming (WY),17.4,101
