"Country (or dependent territory, subnational area, etc.)",Region,Subregion,Rate,Count,Yearlisted
Burundi,Africa,Eastern Africa,6.02,635,2016
Comoros,Africa,Eastern Africa,7.70,60,2015
Djibouti,Africa,Eastern Africa,6.48,60,2015
Eritrea,Africa,Eastern Africa,8.04,390,2015
Ethiopia,Africa,Eastern Africa,7.56,"7,552",2015
Kenya,Africa,Eastern Africa,4.93,"2,533",2018
Madagascar,Africa,Eastern Africa,7.69,"1,863",2015
Malawi,Africa,Eastern Africa,1.73,279,2012
Mauritius,Africa,Eastern Africa,2.92,37,2018
Mayotte,Africa,Eastern Africa,5.93,12,2009
Mozambique,Africa,Eastern Africa,3.40,849,2011
Réunion,Africa,Eastern Africa,1.82,15,2009
Rwanda,Africa,Eastern Africa,2.52,293,2015
Seychelles,Africa,Eastern Africa,12.74,12,2016
Somalia,Africa,Eastern Africa,4.31,599,2015
South Sudan,Africa,Eastern Africa,13.90,"1,504",2012
Uganda,Africa,Eastern Africa,10.42,"4,497",2018
Tanzania,Africa,Eastern Africa,6.95,"3,746",2015
Zambia,Africa,Eastern Africa,5.30,853,2015
Zimbabwe,Africa,Eastern Africa,6.67,981,2012
Angola,Africa,Middle Africa,4.85,"1,217",2012
Cameroon,Africa,Middle Africa,1.40,341,2017
Central African Republic,Africa,Middle Africa,19.76,913,2016
Chad,Africa,Middle Africa,9.04,"1,266",2015
Congo,Africa,Middle Africa,9.32,466,2015
DR Congo,Africa,Middle Africa,13.55,"10,322",2015
Equatorial Guinea,Africa,Middle Africa,2.31,27,2015
Gabon,Africa,Middle Africa,8.04,155,2015
São Tomé and Príncipe,Africa,Middle Africa,3.36,6,2011
Algeria,Africa,Northern Africa,1.36,542,2015
Egypt,Africa,Northern Africa,2.51,"2,207",2012
Libya,Africa,Northern Africa,2.50,156,2015
Morocco,Africa,Northern Africa,1.42,510,2018
Sudan,Africa,Northern Africa,5.16,"1,702",2008
Tunisia,Africa,Northern Africa,3.05,332,2012
Botswana,Africa,Southern Africa,15.04,303,2010
Eswatini,Africa,Southern Africa,9.50,130,2017
Lesotho,Africa,Southern Africa,41.25,897,2015
Namibia,Africa,Southern Africa,17.14,388,2012
South Africa,Africa,Southern Africa,36.40,"21,036",2018
Benin,Africa,Western Africa,1.10,126,2017
Burkina Faso,Africa,Western Africa,1.30,240,2017
Cape Verde,Africa,Western Africa,6.80,37,2018
Côte d'Ivoire,Africa,Western Africa,11.63,"2,688",2015
Gambia,Africa,Western Africa,9.13,181,2015
Ghana,Africa,Western Africa,2.10,609,2017
Guinea,Africa,Western Africa,8.82,"1,067",2015
Guinea-Bissau,Africa,Western Africa,1.10,21,2017
